C:\Users\a_hus\OneDrive\Documents\02_personal\04_education\01_GT_MS\01_courses\2026\cs7643_deep_learning\03_project\.venv\Lib\site-packages\torch\nn\modules\transformer.py:531: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. We recommend specifying layout=torch.jagged when constructing a nested tensor, as this layout receives active development, has better operator coverage, and works with torch.compile. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\NestedTensorImpl.cpp:182.)
  output = torch._nested_tensor_from_mask(
device=cuda | cfg=QUICK | bs=6 L=512 epochs=20 k=3
gpu=NVIDIA GeForce RTX 5070 Laptop GPU | VRAM free 7.4/8.5 GB
discovered 773 wells in train
ep13 step55000: loss=0.1528 (reg=0.0028 align=0.500)
ep13 step55200: loss=0.3359 (reg=0.0041 align=1.106)
ep13 step55400: loss=0.4796 (reg=0.0014 align=1.594)
ep13 step55600: loss=0.2202 (reg=0.0013 align=0.729)
ep13 step55800: loss=0.3669 (reg=0.0102 align=1.189)
ep13 step56000: loss=0.3615 (reg=0.0055 align=1.186)
ep13 step56200: loss=0.4653 (reg=0.0365 align=1.429)
ep13 step56400: loss=0.4709 (reg=0.0090 align=1.540)
ep13 step56600: loss=0.1677 (reg=0.0042 align=0.545)
ep13 step56800: loss=0.2864 (reg=0.0074 align=0.930)
ep13 step57000: loss=0.2788 (reg=0.0050 align=0.913)
ep13 step57200: loss=0.5067 (reg=0.0044 align=1.674)
ep13 step57400: loss=0.2905 (reg=0.0027 align=0.959)
ep13 step57600: loss=0.4276 (reg=0.0057 align=1.406)
ep14 step57800: loss=0.4054 (reg=0.0043 align=1.337)
ep14 step58000: loss=0.4062 (reg=0.0079 align=1.327)
ep14 step58200: loss=0.2378 (reg=0.0037 align=0.780)
ep14 step58400: loss=0.3874 (reg=0.0064 align=1.269)
ep14 step58600: loss=0.2308 (reg=0.0033 align=0.758)
ep14 step58800: loss=0.3740 (reg=0.0037 align=1.234)
ep14 step59000: loss=0.1314 (reg=0.0044 align=0.423)
ep14 step59200: loss=0.4069 (reg=0.0072 align=1.332)
ep14 step59400: loss=0.2779 (reg=0.0053 align=0.908)
ep14 step59600: loss=0.4326 (reg=0.0168 align=1.386)
ep14 step59800: loss=0.2595 (reg=0.0035 align=0.853)
ep14 step60000: loss=0.4097 (reg=0.0070 align=1.342)
ep14 step60200: loss=0.3109 (reg=0.0040 align=1.023)
ep14 step60400: loss=0.3711 (reg=0.0050 align=1.220)
ep14 step60600: loss=0.4205 (reg=0.0062 align=1.381)
ep14 step60800: loss=0.3551 (reg=0.0285 align=1.089)
ep14 step61000: loss=0.3625 (reg=0.0065 align=1.187)
ep14 step61200: loss=0.2070 (reg=0.0042 align=0.676)
ep14 step61400: loss=0.3987 (reg=0.0050 align=1.312)
ep14 step61600: loss=0.5243 (reg=0.0043 align=1.733)
ep15 step61800: loss=0.3845 (reg=0.0053 align=1.264)
ep15 step62000: loss=0.4578 (reg=0.0043 align=1.511)
ep15 step62200: loss=0.3929 (reg=0.0041 align=1.296)
ep15 step62400: loss=0.1851 (reg=0.0043 align=0.602)
ep15 step62600: loss=0.5001 (reg=0.0164 align=1.612)
ep15 step62800: loss=0.2932 (reg=0.0059 align=0.958)
ep15 step63000: loss=0.2180 (reg=0.0027 align=0.718)
ep15 step63200: loss=0.2640 (reg=0.0060 align=0.860)
ep15 step63400: loss=0.2110 (reg=0.0042 align=0.689)
ep15 step63600: loss=0.3929 (reg=0.0094 align=1.278)
ep15 step63800: loss=0.3655 (reg=0.0265 align=1.130)
ep15 step64000: loss=0.3064 (reg=0.0033 align=1.010)
ep15 step64200: loss=0.2553 (reg=0.0024 align=0.843)
ep15 step64400: loss=0.3219 (reg=0.0028 align=1.064)
ep15 step64600: loss=0.3054 (reg=0.0088 align=0.989)
ep15 step64800: loss=0.4631 (reg=0.0102 align=1.509)
ep15 step65000: loss=0.5621 (reg=0.0073 align=1.849)
ep15 step65200: loss=0.3279 (reg=0.0032 align=1.082)
ep15 step65400: loss=0.3010 (reg=0.0073 align=0.979)
ep15 step65600: loss=0.4307 (reg=0.0027 align=1.426)
ep15 step65800: loss=0.1940 (reg=0.0036 align=0.634)
ep16 step66000: loss=0.3662 (reg=0.0053 align=1.203)
ep16 step66200: loss=0.4347 (reg=0.0066 align=1.427)
ep16 step66400: loss=0.6122 (reg=0.0141 align=1.994)
ep16 step66600: loss=0.3747 (reg=0.0076 align=1.224)
ep16 step66800: loss=0.3460 (reg=0.0015 align=1.148)
ep16 step67000: loss=0.3274 (reg=0.0056 align=1.073)
ep16 step67200: loss=0.5389 (reg=0.0275 align=1.704)
ep16 step67400: loss=0.3116 (reg=0.0157 align=0.986)
ep16 step67600: loss=0.2520 (reg=0.0042 align=0.826)
ep16 step67800: loss=0.2097 (reg=0.0071 align=0.675)
ep16 step68000: loss=0.3114 (reg=0.0022 align=1.030)
ep16 step68200: loss=0.3965 (reg=0.0052 align=1.304)
ep16 step68400: loss=0.4803 (reg=0.0151 align=1.550)
ep16 step68600: loss=0.3145 (reg=0.0020 align=1.042)
ep16 step68800: loss=0.3353 (reg=0.0189 align=1.054)
ep16 step69000: loss=0.3410 (reg=0.0072 align=1.112)
ep16 step69200: loss=0.4131 (reg=0.0042 align=1.363)
ep16 step69400: loss=0.1954 (reg=0.0045 align=0.636)
ep16 step69600: loss=0.3197 (reg=0.0012 align=1.062)
ep16 step69800: loss=0.2596 (reg=0.0084 align=0.837)
